CONTRATO FD,GRUPO P. 7,,PAGAS EXTRA FD 2 POR S.B,PAGAS EXTRA 2 POR S.B,,,,,,,,,,,,
,COSTE HORA FD 6.192,,SBDIARIO*30DIAS*2 /360DIAS (AÑO),SB*2  / 12 MESES,,,,,,,,,,,,
,,,"2,97 FINIQUITO GESTORIA",,,,,,,,,,,,,
,,,"VACACIONES SIEMPRE SE TOMA (BASE SALARIO + P.P EXTRA + OTROS COMO MEJORAS VOLUNTARIAS * 0,0833333)",,,,,,,,,,,,,
,,,"0,082191781 ES LO QUE GENERA DE VACACIONES POR CADA DIA TRABAJADO",,,,,,,,,,,,,
,,,"0,08219178082",,,,,,,,,,,,,
,,,"SI FUERA UN DIA COMPLETO DE SALARIO SERIA 8*6,192 (49,54)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  170,00 ",,DEVENGOS," €  180,00 ",,DEVENGOS," €  190,00 ",,DEVENGOS," €  200,00 ",,DEVENGOS," €  55,00 ",,DEVENGOS," €  270,00 "
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO
SALARIO BASE," €  105,26 ",,SALARIO BASE," €  111,46 ",,SALARIO BASE," €  117,65 ",,SALARIO BASE," €  123,84 ",,SALARIO BASE," €  34,06 ",,SALARIO BASE," €  167,18 "
PP. EXTRA," €  17,54 ",,PP. EXTRA," €  18,58 ",,PP. EXTRA," €  19,61 ",,PP. EXTRA," €  20,64 ",,PP. EXTRA," €  5,68 ",,PP. EXTRA," €  27,86 "
TOTAL," €  122,81 ",,TOTAL," €  130,03 ",,TOTAL," €  137,26 ",,TOTAL," €  144,48 ",,TOTAL," €  39,73 ",,TOTAL," €  195,05 "
FINIQUITO," €  10,10 ",,FINIQUITO," €  10,69 ",,FINIQUITO," €  11,28 ",,FINIQUITO," €  11,88 ",,FINIQUITO," €  3,27 ",,FINIQUITO," €  16,03 "
MEJORA VOLUNTARIA," €  37,09 ",,MEJORA VOLUNTARIA," €  39,28 ",,MEJORA VOLUNTARIA," €  41,46 ",,MEJORA VOLUNTARIA," €  43,84 ",,MEJORA VOLUNTARIA," €  12,00 ",,MEJORA VOLUNTARIA," €  58,92 "
TOTAL CON FINIQUITO," €  132,91 ",,TOTAL CON FINIQUITO," €  140,72 ",,TOTAL CON FINIQUITO," €  148,54 ",,TOTAL CON FINIQUITO," €  156,36 ",,TOTAL CON FINIQUITO," €  43,00 ",,TOTAL CON FINIQUITO," €  211,08 "
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  170,00 ",,TOTAL CALCULO DEVENGO," €  180,00 ",,TOTAL CALCULO DEVENGO," €  190,00 ",,TOTAL CALCULO DEVENGO," €  200,00 ",,TOTAL CALCULO DEVENGO," €  55,00 ",,TOTAL CALCULO DEVENGO," €  270,00 "
,,,,,,,,,,,,TOTAL CALCULO LIQUIDO,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  280,00 ",,DEVENGOS," €  210,00 ",,DEVENGOS," €  230,00 ",,DEVENGOS," €  240,00 ",,DEVENGOS," €  155,00 ",,DEVENGOS," €  205,00 "
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO
SALARIO BASE," €  173,38 ",,SALARIO BASE," €  130,03 ",,SALARIO BASE," €  142,42 ",,SALARIO BASE," €  148,61 ",,SALARIO BASE," €  95,98 ",,SALARIO BASE," €  126,94 "
PP. EXTRA," €  28,90 ",,PP. EXTRA," €  21,67 ",,PP. EXTRA," €  23,74 ",,PP. EXTRA," €  24,77 ",,PP. EXTRA," €  16,00 ",,PP. EXTRA," €  21,16 "
TOTAL," €  202,27 ",,TOTAL," €  151,70 ",,TOTAL," €  166,15 ",,TOTAL," €  173,38 ",,TOTAL," €  111,97 ",,TOTAL," €  148,09 "
FINIQUITO," €  16,63 ",,FINIQUITO," €  12,47 ",,FINIQUITO," €  13,66 ",,FINIQUITO," €  14,25 ",,FINIQUITO," €  9,20 ",,FINIQUITO," €  12,17 "
MEJORA VOLUNTARIA," €  61,10 ",,MEJORA VOLUNTARIA," €  45,83 ",,MEJORA VOLUNTARIA," €  50,19 ",,MEJORA VOLUNTARIA," €  52,37 ",,MEJORA VOLUNTARIA," €  33,82 ",,MEJORA VOLUNTARIA," €  44,74 "
TOTAL CON FINIQUITO," €  218,90 ",,TOTAL CON FINIQUITO," €  164,17 ",,TOTAL CON FINIQUITO," €  179,81 ",,TOTAL CON FINIQUITO," €  187,63 ",,TOTAL CON FINIQUITO," €  121,18 ",,TOTAL CON FINIQUITO," €  160,26 "
,,,,,,,,,,,,,,,,
